new entry "WSO_ENTOMBED"
type "StatusData"
data "StatusType" "INCAPACITATED"
using "PETRIFIED"
data "DisplayName" "h9b4059cdg4b17g419egbe15gdeef6902d857;2"
data "Description" "hd01118f6g0560g43f1g90e7g616cddc499c8;2"
data "Icon" "Action_Spider_Entomb"
data "FormatColor" ""
data "AnimationStart" "4c6636ea-1496-4072-83cc-f2bed762b103(STAT_Snare_Combat_01_Start)"
data "AnimationLoop" "0f46a165-c4a4-4123-8bcf-9cd0b96bae1a(STAT_Snare_Combat_01_Loop)"
data "AnimationEnd" "c6596d70-68b6-4174-8303-d7fa398d8f7a(STAT_Snare_Combat_01_End)"
data "StillAnimationPriority" "Snared"
data "StackId" "ENTOMBED"
data "FreezeTime" ""
data "Boosts" "Resistance(Piercing,Resistant);Resistance(Bludgeoning,Resistant);Resistance(Slashing,Resistant);Resistance(Acid,Resistant);Resistance(Cold,Resistant);Resistance(Fire,Resistant);Resistance(Force,Resistant);Resistance(Lightning,Resistant);Resistance(Necrotic,Resistant);Resistance(Poison,Resistant);Resistance(Psychic,Resistant);Resistance(Radiant,Resistant);Resistance(Thunder,Resistant);Attribute(Grounded);StatusImmunity(SG_Poisoned);Advantage(AttackTarget);AbilityFailedSavingThrow(Dexterity);DetectDisturbancesBlock(true);"
data "TooltipSave" "Strength"
data "StatusPropertyFlags" "InitiateCombat"
data "RemoveEvents" "OnDamage"
data "OnTickRoll" "not SavingThrow(Ability.Strength,12)"
data "OnTickFail" "RemoveStatus(WSO_ENTOMBED)"
data "StatusEffect" "e42a30ba-b2b7-4038-a85b-fadeb9a869ef"
